danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.677,0.557,7,-8.072,1,0.287,0.146,8.48e-06,0.129,0.501,186.014,audio_features,76yLBykniz0SSNv0jj17M2,230461,4,0.349,1.0,0.61,0.606
0.577,0.588,1,-9.416,1,0.0664,0.201,8.37e-06,0.245,0.2,77.498,audio_features,6fSvz9yrQY407xmr7cdjuA,249208,4,0.223,1.0,0.664,0.67
0.519,0.656,8,-7.457,0,0.069,0.0259,0.000116,0.187,0.202,174.027,audio_features,4k47x4UkxG215nFLMFna8A,220309,4,0.279,0.997,0.753,0.631
0.706,0.468,8,-8.003,1,0.202,0.171,0.0,0.164,0.394,160.075,audio_features,4zHa39io9pjsiAE6LwM2NH,218879,4,0.078,1.0,0.889,0.767
0.746,0.865,9,-6.628,0,0.2,0.0127,0.0,0.0754,0.775,112.898,audio_features,3mynPhglTz2Ggh8SxA34kR,232882,4,0.503,1.0,0.581,0.41
0.663,0.751,0,-6.831,1,0.0545,0.0147,5.64e-06,0.478,0.749,109.954,audio_features,36K5mnqwfxGS0rvxz7FPyq,265607,4,0.381,0.956,0.517,0.566
0.704,0.396,1,-9.292,1,0.152,0.281,0.0,0.227,0.577,76.934,audio_features,2QRvliBEcGIEgTrjVfxmXo,206035,4,0.101,0.996,0.369,0.445
0.706,0.46,5,-13.654,0,0.0699,0.35,0.149,0.0981,0.489,89.967,audio_features,3CktmDvZGj21m3pNFj5Lr3,111611,4,0.242,1.0,0.138,0.313
0.556,0.686,1,-6.196,0,0.0532,0.141,0.0,0.347,0.609,150.106,audio_features,3r5lHFACTti0w2REN5tcrn,231358,4,0.271,0.946,0.531,0.481
0.774,0.482,6,-9.238,0,0.0858,0.111,0.0,0.122,0.233,140.046,audio_features,4QYEtbfsqusrXN5A49LG53,237576,4,0.757,0.996,0.717,0.762
0.711,0.761,7,-6.09,0,0.0582,0.0389,0.0,0.214,0.708,116.974,audio_features,5ejT19NfiINj4cFmjRHwAC,223302,4,0.932,0.993,1.0,0.705
